_id,base_clock,boost_clock,brand,core,cpu,iGPU,keyword,socket,tdp,thread
,4.3,6.0,intel,24,i9-13900KS,Intel® UHD Graphics 770,13900KS,FCLGA1700,253,32
,3.3,4.5,intel,5,i3-1305U,Intel® UHD Graphics for 13th Gen Intel® Processors,1305U,FCBGA1744,55,6
,4.3,5.8,intel,24,i9-14900,Intel® UHD Graphics 770,14900,FCLGA1700,219,32
,3.7,5.2,intel,20,i7-14700T,Intel® UHD Graphics 770,14700T,FCLGA1700,106,28
,4.1,5.8,intel,24,i9-14900HX,Intel® UHD Graphics for 14th Gen Intel® Processors,14900HX,FCBGA1964,157,32
,3.9,5.5,intel,20,i7-14700HX,Intel® UHD Graphics for 14th Gen Intel® Processors,14700HX,FCBGA1964,157,28
,4.2,5.4,intel,20,i7-14700F,None,14700F,FCLGA1700,219,28
,4.3,5.8,intel,24,i9-14900F,None,14900F,FCLGA1700,219,32
,3.5,4.9,intel,14,i5-14500HX,Intel® UHD Graphics for 14th Gen Intel® Processors,14500HX,FCBGA1964,157,20
,3.4,4.8,intel,14,i5-14500T,Intel® UHD Graphics 770,14500T,FCLGA1700,92,20
,4.2,5.4,intel,20,i7-14700,Intel® UHD Graphics 770,14700,FCLGA1700,219,28
,3.9,5.2,intel,14,i5-14600,Intel® UHD Graphics 770,14600,FCLGA1700,154,20
,3.7,5.2,intel,16,i7-14650HX,Intel® UHD Graphics for 14th Gen Intel® Processors,14650HX,FCBGA1964,157,24
,3.5,4.8,intel,10,i5-14450HX,Intel® UHD Graphics for 14th Gen Intel® Processors,14450HX,FCBGA1964,157,16
,3.5,4.7,intel,10,i5-14400F,None,14400F,FCLGA1700,148,16
,3.7,5.0,intel,14,i5-14500,Intel® UHD Graphics 770,14500,FCLGA1700,154,20
,3.2,4.5,intel,10,i5-14400T,Intel® UHD Graphics 730,14400T,FCLGA1700,82,16
,3.5,4.7,intel,10,i5-14400,Intel® UHD Graphics 730,14400,FCLGA1700,148,16
,3.6,5.1,intel,14,i5-14600T,Intel® UHD Graphics 770,14600T,FCLGA1700,92,20
,,4.7,intel,4,i3-14100,Intel® UHD Graphics 730,14100,FCLGA1700,110,8
,4.0,5.4,intel,10,150U,Intel® Graphics,150U,FCBGA1744,55,12
,,4.4,intel,4,i3-14100T,Intel® UHD Graphics 730,14100T,FCLGA1700,69,8
,,4.7,intel,4,i3-14100F,None,14100F,FCLGA1700,110,8
,3.8,5.0,intel,10,120U,Intel® Graphics,120U,FCBGA1744,55,12
,4.5,6.2,intel,24,i9-14900KS,Intel® UHD Graphics 770,14900KS,FCLGA1700,253,32
,3.3,4.7,intel,6,100U,Intel® Graphics,100U,FCBGA1744,55,8
,3.3,4.7,intel,6,100U,Intel® Graphics,100U,None,55,8
,4.0,5.2,intel,14,160HL,Intel® Iris® Xe Graphics eligible,160HL,None,115,20
,3.9,5.2,intel,10,160UL,Intel® Iris® Xe Graphics eligible,160UL,None,55,12
,3.4,4.6,intel,10,120UL,Intel® Iris® Xe Graphics eligible,120UL,None,55,12
,3.6,4.8,intel,12,130HL,Intel® Iris® Xe Graphics eligible,130HL,None,95,16
,3.7,5.0,intel,10,150UL,Intel® Iris® Xe Graphics eligible,150UL,None,55,12
,3.5,4.7,intel,12,120HL,Intel® Iris® Xe Graphics eligible,120HL,None,95,16
,3.7,5.0,intel,14,150HL,Intel® Iris® Xe Graphics eligible,150HL,None,115,20
,3.3,4.5,intel,6,100UL,Intel® Iris® Xe Graphics eligible,100UL,None,55,8
,3.5,4.7,intel,10,130UL,Intel® Iris® Xe Graphics eligible,130UL,None,55,12
,3.0,,intel,2,930,None,930,"LGA775,PLGA775",95,
,3.4,4.6,intel,8,100HL,Intel® Iris® Xe Graphics eligible,100HL,None,115,12
,2.8,,intel,2,920,None,920,"LGA775,PLGA775",95,
,3.6,,intel,2,960,None,960,"LGA775,PLGA775",130,
,2.8,,intel,2,920,None,920,PLGA775,95,
,3.06,,intel,1,524,None,524,PLGA775,84,
,3.0,,intel,1,631,None,631,"LGA775,PLGA775",86,
,3.2,,intel,1,641,None,641,"LGA775,PLGA775",86,
,3.6,,intel,1,661,None,661,"LGA775,PLGA775",86,
,3.4,,intel,2,945,None,945,"LGA775,PLGA775",95,
,1.6,,intel,2,T2060,None,T2060,PPGA478,31,
,3.4,,intel,1,651,None,651,"LGA775,PLGA775",86,
,2.8,,intel,2,915,None,915,"LGA775,PLGA775",95,
,1.8,,intel,2,E2160,None,E2160,"LGA775,PLGA775",65,
,2.0,,intel,2,E2180,None,E2180,LGA775,65,
,1.86,,intel,2,T2130,None,T2130,PPGA478,31,
,1.73,,intel,2,T2080,None,T2080,PPGA478,31,
